JGI ID,JGI start,JGI end,NCBI start,NCBI end,NCBI ID,Column1,NCBI,kegg_annotation
jgi.p|Yarli1|64471,2659,5277,2659,5277,YALI0_A00110g,YALI0A00110g,YALI0A00110g,unknown function
jgi.p|Yarli1|64472,7045,8880,7045,8880,YALI0_A00132g,YALI0A00132g,YALI0A00132g,K03283 heat shock 70kDa protein 1/2/6/8 
jgi.p|Yarli1|64473,11559,12653,11559,12653,YALI0_A00154g,YALI0A00154g,YALI0A00154g,unknown function
jgi.p|Yarli1|64474,15861,18419,15861,18419,YALI0_A00176g,YALI0A00176g,YALI0A00176g,unknown function
jgi.p|Yarli1|64475,20087,20857,20087,20857,YALI0_A00198g,YALI0A00198g,YALI0A00198g,unknown function
jgi.p|Yarli1|64476,21944,23305,21944,23305,YALI0_A00212g,YALI0A00212g,YALI0A00212g,unknown function
jgi.p|Yarli1|64477,24346,27588,24346,27588,YALI0_A00264g,YALI0A00264g,YALI0A00264g,K01870 isoleucyl-tRNA synthetase [EC:6.1.1.5] 
jgi.p|Yarli1|64478,29236,30342,29236,30342,YALI0_A00286g,YALI0A00286g,YALI0A00286g,K06944 developmentally-regulated GTP-binding protein [EC:3.6.5.-] 
jgi.p|Yarli1|64479,33576,34226,33576,34226,YALI0_A00330g,YALI0A00330g,YALI0A00330g,K18042 serine/threonine/tyrosine-interacting protein 
jgi.p|Yarli1|64480,37336,40249,37336,40249,YALI0_A00352g,YALI0A00352g,YALI0A00352g,K03234 elongation factor 2 
jgi.p|Yarli1|64481,40641,41435,40641,41435,YALI0_A00369g,YALI0A00369g,YALI0A00369g,unknown function
jgi.p|Yarli1|64482,42638,43495,42638,43495,YALI0_A00374g,YALI0A00374g,YALI0A00374g,unknown function
jgi.p|Yarli1|64483,45641,47158,45641,47158,YALI0_A00396g,YALI0A00396g,YALI0A00396g,unknown function
jgi.p|Yarli1|64484,48941,50560,48941,50560,YALI0_A00418g,YALI0A00418g,YALI0A00418g,unknown function
jgi.p|Yarli1|64485,52595,53119,52595,53119,YALI0_A00440g,YALI0A00440g,YALI0A00440g,unknown function
jgi.p|Yarli1|64486,57156,59981,57156,59981,YALI0_A00506g,YALI0A00506g,YALI0A00506g,K16315 serine/threonine-protein kinase haspin [EC:2.7.11.1] 
jgi.p|Yarli1|64487,61589,63178,61589,63178,YALI0_A00528g,YALI0A00528g,YALI0A00528g,unknown function
jgi.p|Yarli1|64488,65426,67021,65426,67021,YALI0_A00550g,YALI0A00550g,YALI0A00550g,unknown function
jgi.p|Yarli1|64489,67134,69045,67134,69045,YALI0_A00572g,YALI0A00572g,YALI0A00572g,unknown function
jgi.p|Yarli1|64490,70418,71707,70418,71707,YALI0_A00594g,YALI0A00594g,YALI0A00594g,K09522 DnaJ homolog subfamily C member 2 
jgi.p|Yarli1|64491,72422,76250,72422,76250,YALI0_A00616g,YALI0A00616g,YALI0A00616g,K06669 structural maintenance of chromosome 3 (chondroitin sulfate proteoglycan 6) 
jgi.p|Yarli1|64492,77194,77865,77194,77865,YALI0_A00638g,YALI0A00638g,YALI0A00638g,K16219 protein N-terminal methyltransferase [EC:2.1.1.244] 
jgi.p|Yarli1|64493,79377,80057,79377,80057,YALI0_A00660g,YALI0A00660g,YALI0A00660g,unknown function
jgi.p|Yarli1|64494,83813,86167,83813,86167,YALI0_A00682g,YALI0A00682g,YALI0A00682g,unknown function
jgi.p|Yarli1|64495,91457,94501,91457,94501,YALI0_A00759g,YALI0A00759g,YALI0A00759g,K06653 CDK inhibitor PHO81 
jgi.p|Yarli1|64496,94859,95452,94859,95452,YALI0_A00781g,YALI0A00781g,YALI0A00781g,unknown function
