Entry	Gene Names	Gene Ontology (molecular function)
P09230	XPR2 YALI0F31889g	serine-type endopeptidase activity [GO:0004252]
P34229	FAS1 YALI0B15059g	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]; (3R)-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]; enoyl-[acyl-carrier-protein] reductase activity [GO:0016631]; fatty-acyl-CoA synthase activity [GO:0004321]; myristoyl-[acyl-carrier-protein] hydrolase activity [GO:0016295]; oleoyl-[acyl-carrier-protein] hydrolase activity [GO:0004320]; palmitoyl-[acyl-carrier-protein] hydrolase activity [GO:0016296]
Q6C093	UBC2 YALI0F26697g	ATP binding [GO:0005524]; proteasome binding [GO:0070628]; single-stranded DNA binding [GO:0003697]; single-stranded DNA helicase activity [GO:0017116]; ubiquitin conjugating enzyme activity [GO:0061631]
Q6C1X5	ARO1 YALI0F12639g	3-dehydroquinate dehydratase activity [GO:0003855]; 3-dehydroquinate synthase activity [GO:0003856]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; shikimate 3-dehydrogenase (NADP+) activity [GO:0004764]; shikimate kinase activity [GO:0004765]
Q6C2F5	ATG9 YALI0F08349g	phospholipid scramblase activity [GO:0017128]
Q6C354	PDH1 YALI0F02497g	"2 iron, 2 sulfur cluster binding [GO:0051537]; 2-methylcitrate dehydratase activity [GO:0047547]"
Q6C4M9	HOG1 YALI0E25135g	ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]
Q6C6R8	PEX20 YALI0_E06831g	peroxisome matrix targeting signal-1 binding [GO:0005052]; peroxisome matrix targeting signal-2 binding [GO:0005053]; protein carrier chaperone [GO:0140597]
Q6C710	ESA1 YALI0E04675g	histone H3K4 acetyltransferase activity [GO:0044016]; peptide 2-hydroxyisobutyryltransferase activity [GO:0106226]; peptide butyryltransferase activity [GO:0140065]; peptide crotonyltransferase activity [GO:0140064]
Q6C793	YALI0E02684g	2-methylcitrate synthase activity [GO:0050440]; citrate (Si)-synthase activity [GO:0004108]
Q6C7C0	MYO1 YALI0E02046g	actin filament binding [GO:0051015]; Arp2/3 complex binding [GO:0071933]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; microfilament motor activity [GO:0000146]
Q6C7R4	YALI0_D26015g	ATP binding [GO:0005524]; centromeric DNA binding [GO:0019237]; phosphoprotein binding [GO:0051219]; protein serine/threonine kinase activity [GO:0004674]; protein-containing complex binding [GO:0044877]
Q6C7U0	ATG1 YALI0D25388g	ATP binding [GO:0005524]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q6C7U8	PHO85 YALI0D25190g	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; protein serine kinase activity [GO:0106310]
Q6CCB0	SSN3 CDK8 YALI0C10967g	ATP binding [GO:0005524]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein serine kinase activity [GO:0106310]; RNA polymerase II CTD heptapeptide repeat kinase activity [GO:0008353]
Q6CF29	YALI0_B10758g	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; histone binding [GO:0042393]; RNA polymerase II complex binding [GO:0000993]
Q6CFS5	CBK1 YALI0B04268g	ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
Q6CFT7	ATP2 YALI0_B03982g	"ADP binding [GO:0043531]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
Q6CHJ9	YALI0_A08077g	myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]
B5FVG3	TIM11 ATP21 YALI0_E32164g	proton transmembrane transporter activity [GO:0015078]
F2Z699	NDH2 YALI0F25135g	NADH dehydrogenase (quinone) activity [GO:0050136]
F2Z6C9	NCP1 YALI0_D04422g	flavin adenine dinucleotide binding [GO:0050660]; FMN binding [GO:0010181]; NADP binding [GO:0050661]; NADPH-hemoprotein reductase activity [GO:0003958]
O43108	PMR1 SCA1 YALI0E09471g	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; calcium ion binding [GO:0005509]; P-type calcium transporter activity [GO:0005388]; P-type manganese transporter activity [GO:0140613]
O74932	TPS1 YITPS1 YALI0E14685g	"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity [GO:0003825]; trehalose synthase activity [GO:0102986]; trehalose-phosphatase activity [GO:0004805]"
