JGI ID,JGI start,JGI end,NCBI start,NCBI end,NCBI ID,Column1,NCBI
jgi.p|Yarli1|64471,2659,5277,2659,5277,YALI0_A00110g,YALI0A00110g,YALI0A00110g
jgi.p|Yarli1|64472,7045,8880,7045,8880,YALI0_A00132g,YALI0A00132g,YALI0A00132g
jgi.p|Yarli1|64473,11559,12653,11559,12653,YALI0_A00154g,YALI0A00154g,YALI0A00154g
jgi.p|Yarli1|64474,15861,18419,15861,18419,YALI0_A00176g,YALI0A00176g,YALI0A00176g
jgi.p|Yarli1|64475,20087,20857,20087,20857,YALI0_A00198g,YALI0A00198g,YALI0A00198g
jgi.p|Yarli1|64476,21944,23305,21944,23305,YALI0_A00212g,YALI0A00212g,YALI0A00212g
jgi.p|Yarli1|64477,24346,27588,24346,27588,YALI0_A00264g,YALI0A00264g,YALI0A00264g
jgi.p|Yarli1|64478,29236,30342,29236,30342,YALI0_A00286g,YALI0A00286g,YALI0A00286g
jgi.p|Yarli1|64479,33576,34226,33576,34226,YALI0_A00330g,YALI0A00330g,YALI0A00330g
jgi.p|Yarli1|64480,37336,40249,37336,40249,YALI0_A00352g,YALI0A00352g,YALI0A00352g
jgi.p|Yarli1|64481,40641,41435,40641,41435,YALI0_A00369g,YALI0A00369g,YALI0A00369g
jgi.p|Yarli1|64482,42638,43495,42638,43495,YALI0_A00374g,YALI0A00374g,YALI0A00374g
jgi.p|Yarli1|64483,45641,47158,45641,47158,YALI0_A00396g,YALI0A00396g,YALI0A00396g
jgi.p|Yarli1|64484,48941,50560,48941,50560,YALI0_A00418g,YALI0A00418g,YALI0A00418g
jgi.p|Yarli1|64485,52595,53119,52595,53119,YALI0_A00440g,YALI0A00440g,YALI0A00440g
jgi.p|Yarli1|64486,57156,59981,57156,59981,YALI0_A00506g,YALI0A00506g,YALI0A00506g
jgi.p|Yarli1|64487,61589,63178,61589,63178,YALI0_A00528g,YALI0A00528g,YALI0A00528g
jgi.p|Yarli1|64488,65426,67021,65426,67021,YALI0_A00550g,YALI0A00550g,YALI0A00550g
jgi.p|Yarli1|64489,67134,69045,67134,69045,YALI0_A00572g,YALI0A00572g,YALI0A00572g
jgi.p|Yarli1|64490,70418,71707,70418,71707,YALI0_A00594g,YALI0A00594g,YALI0A00594g
jgi.p|Yarli1|64491,72422,76250,72422,76250,YALI0_A00616g,YALI0A00616g,YALI0A00616g
jgi.p|Yarli1|64492,77194,77865,77194,77865,YALI0_A00638g,YALI0A00638g,YALI0A00638g
jgi.p|Yarli1|64493,79377,80057,79377,80057,YALI0_A00660g,YALI0A00660g,YALI0A00660g
jgi.p|Yarli1|64494,83813,86167,83813,86167,YALI0_A00682g,YALI0A00682g,YALI0A00682g
jgi.p|Yarli1|64495,91457,94501,91457,94501,YALI0_A00759g,YALI0A00759g,YALI0A00759g
jgi.p|Yarli1|64496,94859,95452,94859,95452,YALI0_A00781g,YALI0A00781g,YALI0A00781g
jgi.p|Yarli1|64497,100124,103264,100124,103264,YALI0_A00803g,YALI0A00803g,YALI0A00803g
jgi.p|Yarli1|64498,106356,107765,106356,107765,YALI0_A00825g,YALI0A00825g,YALI0A00825g
jgi.p|Yarli1|64499,108301,109344,108301,109344,YALI0_A00847g,YALI0A00847g,YALI0A00847g
jgi.p|Yarli1|64500,109884,111338,109884,111338,YALI0_A00869g,YALI0A00869g,YALI0A00869g
jgi.p|Yarli1|64501,112988,114379,112988,114379,YALI0_A00891g,YALI0A00891g,YALI0A00891g
jgi.p|Yarli1|64502,116949,119207,116949,119207,YALI0_A00913g,YALI0A00913g,YALI0A00913g
jgi.p|Yarli1|64503,121112,121432,121112,121432,YALI0_A00935g,YALI0A00935g,YALI0A00935g
jgi.p|Yarli1|64504,121983,122435,121983,122435,YALI0_A00957g,YALI0A00957g,YALI0A00957g
jgi.p|Yarli1|64505,124225,125673,124225,125673,YALI0_A00979g,YALI0A00979g,YALI0A00979g
jgi.p|Yarli1|64506,127330,128412,127330,128412,YALI0_A01001g,YALI0A01001g,YALI0A01001g
jgi.p|Yarli1|64507,136940,140176,136940,140176,YALI0_A01023g,YALI0A01023g,YALI0A01023g
jgi.p|Yarli1|64508,144254,145369,144254,145369,YALI0_A01045g,YALI0A01045g,YALI0A01045g
jgi.p|Yarli1|64509,147528,147989,147528,147989,YALI0_A01067g,YALI0A01067g,YALI0A01067g
jgi.p|Yarli1|64510,151111,153015,151111,153015,YALI0_A01089g,YALI0A01089g,YALI0A01089g
jgi.p|Yarli1|64511,154616,155143,154616,155143,YALI0_A01111g,YALI0A01111g,YALI0A01111g
jgi.p|Yarli1|64512,156015,157655,156015,157655,YALI0_A01133g,YALI0A01133g,YALI0A01133g
jgi.p|Yarli1|64513,160621,161847,160621,161847,YALI0_A01155g,YALI0A01155g,YALI0A01155g
jgi.p|Yarli1|64514,164805,166301,164805,166301,YALI0_A01265g,YALI0A01265g,YALI0A01265g
